model_id,Downloads,Likes,S_C3_Q10,role,month,download_p90,modelrank_p90
meta-llama/Llama-2-7b,0.0,4318.0,99.0087465781389,Hidden Root,2025-04,48.0,0.2265555325290591
meta-llama/Llama-2-7b,0.0,4339.0,54.291777993470824,Hidden Root,2025-05,29.0,0.1877114771442029
meta-llama/Llama-2-7b,0.0,4363.0,86.22867318672232,Hidden Root,2025-06,73.0,0.1671328586157394
meta-llama/Llama-2-7b,897.0,4380.0,35.05082028137005,Popular Root,2025-07,46.0,0.1616196593713486
meta-llama/Llama-2-7b,509.0,4394.0,33.26534790282649,Popular Root,2025-08,37.0,0.1789208319783163
meta-llama/Llama-2-7b,742.0,4407.0,47.30226728129339,Popular Root,2025-09,56.0,0.1745556870024762
meta-llama/Llama-2-7b,530.0,4420.0,78.97460310234815,Popular Root,2025-10,56.0,0.2497182525588382
meta-llama/Llama-2-7b,489.0,4430.0,58.250898865974165,Popular Root,2025-11,89.0,0.1764457011105828
meta-llama/Llama-2-7b,362.0,4439.0,410.93159315675706,Popular Root,2025-12,55.0,0.1615341957713476
meta-llama/Llama-2-7b,314.0,4448.0,13.766526215118567,Popular Root,2026-01,30.0,0.1954875292731835
meta-llama/Llama-2-7b,228.0,4454.0,44.20564552058995,Popular Root,2026-02,45.0,0.2434687593373653
meta-llama/Llama-2-7b-chat,0.0,532.0,2.75993456466305,Hidden Root,2024-07,219.0,1.8558965922405413
meta-llama/Llama-2-7b-chat,0.0,543.0,0.4167495203474941,Hidden Root,2024-08,116.0,0.2308944160471986
meta-llama/Llama-2-7b-chat,0.0,547.0,0.48770232329036217,Hidden Root,2024-09,100.0,0.2475988486003169
meta-llama/Llama-2-7b-chat,0.0,554.0,0.5012870122045998,Hidden Root,2024-10,75.0,0.238593793034825
meta-llama/Llama-2-7b-chat,0.0,557.0,11.618413064486141,Hidden Root,2024-11,82.0,0.2028459520811253
meta-llama/Llama-2-7b-chat,0.0,565.0,0.36636214484217666,Hidden Root,2024-12,51.0,0.1918775380863641
meta-llama/Llama-2-7b-chat,0.0,572.0,0.4041199228481617,Hidden Root,2025-01,119.0,0.1811518922358358
meta-llama/Llama-2-7b-chat,0.0,576.0,0.4574848343094384,Hidden Root,2025-02,111.0,0.1825346650438559
meta-llama/Llama-2-7b-chat,0.0,583.0,0.3794006909323057,Hidden Root,2025-03,61.0,0.1913654759481211
meta-llama/Llama-2-7b-chat,0.0,590.0,0.4655720327887735,Hidden Root,2025-04,48.0,0.2265555325290591
meta-llama/Llama-2-7b-chat,0.0,600.0,0.4822687971128372,Hidden Root,2025-05,29.0,0.1877114771442029
meta-llama/Llama-2-7b-chat,0.0,604.0,0.3392295508447003,Hidden Root,2025-06,73.0,0.1671328586157394
meta-llama/Llama-2-7b-chat,178.0,609.0,0.5182089175794953,Popular Root,2025-07,46.0,0.1616196593713486
meta-llama/Llama-2-7b-chat,200.0,610.0,0.5778755057982571,Popular Root,2025-08,37.0,0.1789208319783163
meta-llama/Llama-2-7b-chat,145.0,613.0,0.4954826227514173,Popular Root,2025-09,56.0,0.1745556870024762
meta-llama/Llama-2-7b-chat,104.0,613.0,0.7899111618026842,Popular Root,2025-10,56.0,0.2497182525588382
meta-llama/Llama-2-7b-chat,102.0,613.0,0.5433196512713995,Popular Root,2025-11,89.0,0.1764457011105828
meta-llama/Llama-2-7b-chat,103.0,613.0,0.48205896261348113,Popular Root,2025-12,55.0,0.1615341957713476
meta-llama/Llama-2-7b-chat,159.0,613.0,0.5990074411828177,Popular Root,2026-01,30.0,0.1954875292731835
meta-llama/Llama-2-7b-chat,68.0,615.0,0.6907583263155377,Popular Root,2026-02,45.0,0.2434687593373653
mistralai/Pixtral-12B-2409,9.0,365.0,0.3587527481457608,Hidden Root,2024-09,100.0,0.2475988486003169
mistralai/Pixtral-12B-2409,0.0,483.0,13.217455049793552,Hidden Root,2024-10,75.0,0.238593793034825
mistralai/Pixtral-12B-2409,0.0,537.0,91.80644744269489,Hidden Root,2024-11,82.0,0.2028459520811253
mistralai/Pixtral-12B-2409,0.0,567.0,1.4204878575997362,Hidden Root,2024-12,51.0,0.1918775380863641
mistralai/Pixtral-12B-2409,0.0,599.0,24.899569958683724,Hidden Root,2025-01,119.0,0.1811518922358358
mistralai/Pixtral-12B-2409,0.0,621.0,23.482793124140162,Hidden Root,2025-02,111.0,0.1825346650438559
mistralai/Pixtral-12B-2409,0.0,627.0,1.8511920627942513,Hidden Root,2025-03,61.0,0.1913654759481211
mistralai/Pixtral-12B-2409,0.0,632.0,17.315672319224547,Hidden Root,2025-04,48.0,0.2265555325290591
