month,percentile,threshold_rule,n,pr_n,pr_share,pl_n,pl_share,hr_n,hr_share,lt_n,lt_share,effect_status,hr_median_desc_breadth,pl_median_desc_breadth,mann_whitney_u,p_value,signed_rank_biserial,absolute_rank_biserial,download_boundary,modelrank_boundary,download_boundary_tie_n,modelrank_boundary_tie_n,download_high_n,modelrank_high_n,exact_modelrank
2025-05,0.5,percentile_with_ties,529182,278940,0.5271154347653548,0,0.0,5484,0.0103631642799641,244758,0.462521400954681,not_estimable_empty_group,0.0,,,,,,2.0,0.0419777371525593,29869,27844,278940,284424,False
2025-05,0.7,percentile_with_ties,529182,154308,0.2915972198600859,13924,0.0263123084307478,9534,0.0180164858215132,351416,0.664073985887653,estimable,1.0,0.0,101812745.0,0.0,-0.5338856347867507,0.5338856347867507,7.0,0.0839554743051186,16714,8913,168232,163842,False
2025-05,0.8,percentile_with_ties,529182,88462,0.1671674395576569,22584,0.0426771885665045,17868,0.0337653208159007,400268,0.7563900510599378,estimable,1.0,0.0,347010975.5,0.0,-0.719873076291117,0.719873076291117,12.0,0.1104404776622703,8126,707,111046,106330,False
2025-05,0.85,percentile_with_ties,529182,59669,0.1127570476697998,23602,0.0446009123515161,20001,0.0377960701611165,425910,0.8048459698175675,estimable,1.0,0.0,447925279.0,0.0,-0.897732750850806,0.897732750850806,16.0,0.1399838955104635,4491,468,83271,79670,False
2025-05,0.9,percentile_with_ties,529182,33337,0.0629972296865728,20012,0.0378168569603652,19583,0.0370061717896678,456250,0.862179741563394,estimable,2.0,0.0,385283242.0,0.0,-0.9662575227166208,0.9662575227166208,29.0,0.1877114771442029,941,140,53349,52920,False
2025-05,0.95,percentile_with_ties,529182,12429,0.0234871934419538,14117,0.0266770222721105,14031,0.0265145072961665,488605,0.9233212769897692,estimable,2.0,0.0,197070072.5,0.0,-0.989846761913822,0.989846761913822,115.0,0.299666009044311,125,0,26546,26460,False
2025-06,0.5,percentile_with_ties,552524,275922,0.49938464211509365,44511,0.08055939651490251,4806,0.008698264690764564,227285,0.41135769667923927,estimable,1.0,0.0,166793398.0,0.0,-0.559400733730826,0.559400733730826,3.0,0.04721529666079914,47596,25284,320433,280728,False
2025-06,0.7,percentile_with_ties,552524,148668,0.26907066480370084,31982,0.057883458456103265,21236,0.03843452954079823,350638,0.6346113471993977,estimable,1.0,0.0,603006007.5,0.0,-0.7757151455119573,0.7757151455119573,8.0,0.07289849688372926,17029,7996,180650,169904,False
2025-06,0.8,percentile_with_ties,552524,83877,0.15180698033026618,27830,0.0503688527557174,26905,0.04869471733354569,413912,0.7491294495804707,estimable,1.0,0.0,725293958.0,0.0,-0.937304345288579,0.937304345288579,15.0,0.10593174122849029,4266,498,111707,110782,False
2025-06,0.85,percentile_with_ties,552524,56718,0.10265255445917282,27189,0.04920872215505571,26357,0.04770290521316721,442260,0.8004358181726042,estimable,1.0,0.0,704242004.5,0.0,-0.965453209986648,0.965453209986648,27.0,0.13539154424319744,1194,206,83907,83075,False
